Id,FreePass
02/5375,True
01/6673,False
02/0337,False
01/6655,True
01/4723,False
01/3175,True
01/3024,False
01/8489,True
01/6525,False
01/6232,True
01/3966,False
01/0549,False
01/0007,False
01/8054,False
01/2200,False
01/6521,False
06/3659,True
01/1744,False
01/8246,True
01/1809,True
01/4761,True
08/6332,False
02/0571,True
04/8956,False
01/3225,True
01/8770,True
01/3516,False
01/3095,True
01/8945,True
02/1294,True
01/7683,False
07/8956,False
01/1218,False
01/4787,False
01/8175,True
02/3775,True
01/8969,False
01/5016,False
02/3749,True
01/8900,False
01/1201,False
01/5080,False
03/4048,False
01/4604,True
01/5508,False
01/3671,False
02/6193,True
01/7076,True
01/4797,True
01/6799,True
02/4472,False
01/1697,False
01/5314,True
01/5707,False
01/1136,False
02/2798,True
01/6107,False
02/7290,True
03/7290,True
01/3597,False
01/5765,True
01/3522,True
01/2216,False
02/7219,True
04/1186,False
01/8400,False
01/3980,True
01/3020,False
01/5658,False
01/8249,False
01/1073,False
01/2704,True
01/6966,False
01/7796,False
01/0204,False
01/5622,True
01/4943,True
03/4336,False
01/3585,True
01/9152,True
01/3859,True
02/8770,True
01/7570,True
02/0684,True
01/8342,False
01/6074,False
01/4036,False
01/1721,False
01/5524,False
01/9018,False
03/7853,True
01/0625,True
01/2963,True
01/2979,True
01/2630,False
02/6876,True
01/4442,True
01/0762,True
01/6668,False
01/7738,True
01/1446,False
01/4905,True
01/3888,True
01/6256,True
01/8132,False
01/0346,True
01/0427,True
01/0107,False
02/3883,False
02/6843,True
02/3272,True
02/2589,True
01/8956,False
01/6175,False
03/8015,True
01/1700,True
01/5630,True
01/6141,False
01/8250,True
01/0584,True
01/6989,True
01/0526,True
03/0067,False
01/5458,False
02/6334,True
02/0045,True
02/0863,False
01/8283,True
01/6677,True
01/8102,False
03/4400,True
01/3457,True
01/6089,True
01/7066,False
01/1427,True
01/3877,False
01/8469,True
01/7755,True
02/9025,True
01/6995,False
01/3679,True
01/8921,True
01/0396,True
02/3490,False
02/1559,True
02/5205,True
01/4822,True
02/8061,True
01/6266,True
01/7261,True
01/4370,False
01/5970,True
01/1768,False
01/3663,True
01/6449,False
01/2407,True
01/5197,False
03/1287,False
01/6695,False
01/1880,False
01/8184,False
02/6066,True
01/3270,False
01/1139,True
01/3984,True
01/0856,False
01/6852,True
01/2921,False
01/7398,False
01/7198,True
03/8741,False
01/7317,False
02/2493,False
01/0774,True
05/8961,True
01/4404,False
04/4523,True
01/7522,False
01/3199,True
01/5881,True
02/5127,False
01/3717,False
02/7157,False
01/6468,True
01/6056,False
02/5815,False
01/9148,False
01/7116,True
01/8105,False
01/8000,True
01/6419,False
01/1066,True
04/5514,True
01/9183,False
03/7650,True
01/4079,False
02/8268,False
01/8666,True
02/8318,False
01/6606,True
01/0802,True
01/8517,False
02/0202,False
04/1257,True
04/1145,True
01/5159,True
01/7202,False
02/2481,False
01/4081,False
01/0525,True
01/8565,True
03/5390,False
01/8486,True
03/5787,False
01/1372,True
03/0031,False
01/3569,True
01/0777,True
02/0320,False
01/4886,False
01/0335,False
01/4408,True
01/8957,False
03/0992,True
01/2420,True
01/2591,False
01/1759,True
02/9053,True
01/1039,False
01/7416,False
03/1844,True
02/7019,False
01/4793,False
02/7022,False
02/7029,True
01/3734,True
02/1793,False
01/3237,False
01/8829,True
01/9123,True
04/4371,True
01/4242,True
01/4974,False
02/2538,True
01/5250,True
01/2071,False
01/7126,False
02/2023,True
04/6309,True
01/7100,True
01/5844,True
01/1173,True
01/2503,False
01/4063,True
02/1835,True
01/8204,False
01/2507,True
01/6031,False
01/6501,True
01/9224,False
01/1911,False
01/1276,False
01/3366,True
01/2091,False
02/8526,False
05/8728,True
04/4726,True
01/1575,True
01/6097,False
01/9131,False
01/6432,False
02/4768,True
01/0680,True
01/1246,False
02/1860,False
01/8813,False
01/0883,False
02/4702,False
03/7489,False
01/1309,False
01/3503,False
01/9273,True
01/1108,False
01/7815,True
01/4531,True
01/0387,True
01/5224,False
01/8651,False
01/6694,True
02/4305,True
01/4322,True
01/4479,False
02/5039,True
01/1040,True
05/3353,False
01/7833,False
01/3239,True
01/8612,False
01/4013,False
01/9269,False
01/7982,True
01/7011,False
01/0954,False
01/5633,False
07/8988,True
01/0196,False
01/6572,False
01/9084,False
02/0417,False
03/3608,True
01/3177,False
04/5416,True
05/1086,False
01/8932,False
01/2213,False
01/3720,True
01/7718,True
01/9270,True
01/8583,True
01/1406,False
01/3368,True
01/7036,True
01/2109,True
01/8622,False
01/4095,False
01/7932,False
01/5252,True
01/0147,True
02/8520,True
01/6662,True
01/2813,True
02/6342,False
01/9106,False
02/6858,True
01/2698,False
01/7097,True
01/9047,False
02/8845,False
02/5304,True
03/3411,False
02/7748,False
03/6658,False
01/5072,False
01/6162,False
01/6680,False
01/1112,True
01/7476,True
04/4625,True
01/5722,False
01/3339,True
01/3603,True
01/7348,False
01/0127,False
01/7325,False
02/6565,False
01/4286,False
02/6139,True
01/4676,False
02/4207,True
01/1840,True
01/8007,False
01/6728,True
02/7909,False
01/6182,True
01/2828,False
01/3169,False
01/5686,False
03/9069,True
02/9108,False
01/9150,False
01/9051,False
01/3638,False
05/5911,True
01/3645,True
01/7247,False
02/4371,False
01/1425,False
02/0374,False
01/8872,True
03/1540,False
01/5036,True
02/0437,True
03/2595,False
01/0775,True
04/8770,False
04/3265,True
01/0171,True
01/8487,False
01/7127,False
04/4663,True
01/1152,False
01/4687,False
01/2618,True
02/8678,True
01/5898,True
02/8541,False
01/4703,True
01/6851,False
02/0988,False
01/5759,True
02/1232,False
03/5909,True
01/5481,True
01/4996,True
01/6494,False
01/6948,True
02/8713,True
01/3063,True
01/2794,False
01/1430,True
01/0555,True
01/2121,True
03/0504,True
04/4323,True
01/0392,False
01/6901,False
01/8959,True
03/7950,True
01/0482,False
01/0821,True
01/2115,True
01/5727,False
03/3701,True
01/0675,False
01/6207,False
02/2506,True
01/6282,False
01/3091,False
01/1757,True
01/3146,False
03/0647,False
05/1471,True
01/8922,True
01/4571,True
04/4782,True
01/3363,False
01/0782,True
01/3832,False
01/5657,False
01/2374,False
03/5416,True
04/3279,True
01/2875,True
01/9109,True
01/1790,True
01/7216,True
01/4999,False
01/3726,True
01/1056,True
02/7046,False
01/1921,False
01/5853,False
01/0759,True
01/7256,False
02/0884,False
01/3218,True
01/6619,False
01/2648,True
01/5723,True
01/8859,False
02/4723,False
01/7985,True
02/3662,True
01/0200,True
01/7910,False
01/3811,True
01/1856,False
01/8783,False
01/8467,True
01/3997,False
01/0269,True
01/2600,False
05/3195,True
01/7467,False
01/0232,True
01/2524,True
01/6239,True
03/4298,True
01/1278,True
01/6517,False
01/8009,True
02/1572,False
01/8569,True
01/0052,False
02/7539,True
01/6586,False
01/3460,False
03/5267,False
01/3846,True
01/6251,True
01/7323,False
02/8115,True
01/4907,True
01/6889,False
03/6207,False
01/4048,True
02/6321,False
01/1682,True
01/6750,False
01/6688,True
01/3107,True
01/0810,False
01/5916,False
01/0980,False
01/6534,False
01/8694,True
