AvgTime,Age,Food,Drinks,FreePass,Opinion_Polarity,Concert_StartTime,Concert_EndTime,Concert_Duration,PreferedAlbum_Head Hunters,PreferedAlbum_Kind of Blue,Vinyl_True,VIP_True,Concert_City_NYC,Concert_City_SF,Ticket_Type_B,Ticket_Type_CB,Ticket_Type_LB,Ticket_Type_LT,Ticket_Type_PB,Ticket_Type_RB,Ticket_Type_RT,Ticket_Class_XL
3.055,22.0,170.0,1.0,True,0.1,12.0,5.0,5.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2.51,9.0,0.0,0.0,True,-0.16666666666666666,12.0,5.0,5.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
0.803,27.0,815.0,37.0,False,-0.125,12.0,5.0,5.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
0.568,36.0,1427.0,1395.0,False,0.0,16.0,7.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.034,16.0,1299.0,0.0,False,0.0,12.0,5.0,5.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
2.816,42.0,0.0,0.0,True,0.0,16.0,7.0,3.0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
2.898,4.0,0.0,0.0,True,0.0,12.0,5.0,5.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
3.829,21.0,809.0,0.0,True,0.0,12.0,5.0,5.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
2.883,25.0,0.0,0.0,True,0.0,12.0,5.0,5.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
3.396,16.0,0.0,0.0,True,0.35714285714285715,12.0,5.0,5.0,1,0,1,0,1,0,0,1,0,0,0,0,0,1
3.904,18.0,0.0,0.0,True,0.4166666666666667,16.0,7.0,3.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2.989,27.0,0.0,0.0,True,0.0,12.0,5.0,5.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
0.091,48.0,588.0,158.0,False,0.0,12.0,5.0,5.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2.817,27.0,0.0,0.0,True,0.55,16.0,7.0,3.0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
3.946,32.0,3836.0,26.0,True,0.66,16.0,7.0,3.0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
0.864,60.0,193.0,1994.0,False,0.05500000000000001,12.0,5.0,5.0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
0.033,62.0,933.0,28.0,False,0.0,12.0,5.0,5.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.299,35.0,2329.0,1.0,False,0.7,12.0,5.0,5.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
0.567,16.0,1722.0,0.0,False,0.3,12.0,5.0,5.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
0.213,16.0,150.0,520.0,False,0.7,14.0,7.0,5.0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
0.224,22.0,4.0,645.0,False,-0.10000000000000002,12.0,5.0,5.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
0.776,73.0,989.0,68.0,False,0.7,12.0,5.0,5.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0.291,29.0,2754.0,8294.0,False,-0.4166666666666667,16.0,7.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.039,30.0,0.0,0.0,False,0.23333333333333336,12.0,5.0,5.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
3.655,59.0,0.0,0.0,True,-0.13333333333333333,16.0,7.0,3.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
3.88,36.0,6511.0,1218.0,True,0.65,16.0,7.0,3.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
2.794,5.0,0.0,0.0,True,0.5,14.0,7.0,5.0,1,0,1,0,0,1,0,1,0,0,0,0,0,0
0.721,45.0,1296.0,1.0,False,0.0,12.0,5.0,5.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
3.393,2.0,0.0,0.0,True,0.18,16.0,7.0,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2.499,33.0,0.0,0.0,True,0.0,12.0,5.0,5.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
3.732,36.0,3550.0,0.0,True,0.0,12.0,5.0,5.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0.954,19.0,2638.0,0.0,False,0.8,12.0,5.0,5.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.832,21.0,5.0,661.0,False,0.8,12.0,5.0,5.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
0.549,21.0,1664.0,0.0,False,0.7,16.0,7.0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3.866,20.0,899.0,0.0,True,0.0,12.0,5.0,5.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
2.536,40.0,0.0,0.0,True,0.0,12.0,5.0,5.0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
2.21,27.0,0.0,0.0,True,0.0,16.0,7.0,3.0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
0.425,26.0,525.0,258.0,False,0.09999999999999998,12.0,5.0,5.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
0.925,24.0,729.0,75.0,False,0.09,12.0,5.0,5.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.401,35.0,1333.0,7.0,True,0.6,16.0,7.0,3.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3.266,45.0,0.0,0.0,True,0.0,12.0,5.0,5.0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
2.544,20.0,2709.0,0.0,True,1.0,12.0,5.0,5.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0.766,42.0,512.0,771.0,False,0.49333333333333335,12.0,5.0,5.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
0.571,21.0,0.0,0.0,False,0.6,12.0,5.0,5.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0
3.277,49.0,0.0,0.0,True,0.4333333333333333,16.0,7.0,3.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
